Application Status,Merit Score,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_5_obtained,Offered
Application Fee Received,67.236,54,789,761,134,No
Application Fee Received,66.028,52,614,754,0,No
Application Fee Received,66.283,54,681,767,0,No
Application Fee Received,50.8,42,709,583,95,No
Application Fee Received,58.127,51,697,664,48,No
Application Fee Received,66.745,53,802,772,152,No
Application Fee Received,58.182,48,747,668,110,No
Application Fee Received,56.652,52,739,640,0,No
Application Fee Received,63.764,57,724,720,96,No
Application Fee Received,68,52,720,792,148,No
Application Fee Received,64.655,40,667,784,36,No
Application Fee Received,54.764,52,670,610,44,No
Application Fee Received,64.618,50,672,756,0,No
Application Fee Received,64.691,54,605,741,92,No
Application Fee Received,51.491,40,647,598,113,No
Application Fee Received,64.036,50,591,743,165,No
Application Fee Received,54.215,48,627,613,42,No
Application Fee Received,47.891,46,672,532,68,No
Application Fee Received,70.673,77,758,760,126,No
Admission Fee Challan Received,53.782,46,748,613,61,No
Application Fee Received,51.491,40,594,598,0,No
Application Fee Received,69.636,62,906,787,0,No
Application Fee Received,70.109,60,813,804,122,No
Application Fee Received,57.909,50,735,673,0,No
Application Fee Received,72.055,53,832,845,154,No
Application Fee Received,81.018,68,902,927,169,Yes
Application Fee Received,69.182,55,810,800,135,No
Application Fee Received,58.927,19,813,763,117,No
Application Fee Received,51.491,52,574,565,75,No
Application Fee Received,67.073,55,814,771,130,No
Application Fee Received,59.745,46,820,695,0,No
Application Fee Received,64.691,54,612,741,0,No
Application Fee Received,59.675,12,916,791,64,No
Application Fee Received,62.473,60,819,694,37,No
Application Fee Received,51.145,47,683,574,85,No
Application Fee Received,66.713,70,865,765,54,No
Application Fee Received,62.382,49,820,728,148,No
Application Fee Received,71.725,58,882,809,164,No
Application Fee Received,61.782,54,743,701,0,No
Application Fee Received,67.551,55,667,782,0,No
Application Fee Received,72.455,55,799,850,179,No
Application Fee Received,70.382,61,591,800,67,No
Application Fee Received,65.578,49,783,781,0,No
Admission Fee Challan Received,74.709,51,903,887,0,Yes
Application Fee Received,63.418,54,726,712,0,No
Application Fee Received,59.891,50,761,686,0,No
Application Fee Received,65.036,39,921,787,0,No
Application Fee Received,78.382,53,922,932,0,Yes
Application Fee Received,69.103,54,835,806,64,No
Admission Fee Challan Received,53.818,44,802,619,75,No
Application Fee Received,60.309,55,679,678,103,No
Application Fee Received,74.966,68,933,823,41,No
Application Fee Received,68.091,55,748,765,0,No
Application Fee Received,70.202,59,867,800,163,No
Application Fee Received,70.145,50,645,827,169,No
Application Fee Received,67.821,40,588,832,0,No
Application Fee Received,72.618,42,834,883,167,No
Application Fee Received,71.236,46,827,853,0,No
Application Fee Received,76.491,53,909,906,158,Yes
Application Fee Received,52.636,49,665,594,82,No
Application Fee Received,64.455,43,725,768,0,No
Application Fee Received,61.945,57,731,695,0,No
Application Fee Received,64.782,57,700,739,43,No
Application Fee Received,63.091,46,645,741,0,No
Application Fee Received,61.982,51,903,712,103,No
Application Fee Received,56.436,48,788,644,40,No
Application Fee Received,66,42,714,772,139,No
Application Fee Received,71.655,59,752,823,0,No
Application Fee Received,57.364,57,865,612,0,No
Application Fee Received,61.868,4,850,819,158,No
Application Fee Received,54.182,0,628,760,154,No
Application Fee Received,51.6,50,708,577,0,No
Application Fee Received,52.491,49,629,587,85,No
Application Fee Received,72.327,50,725,867,0,No
Application Fee Received,57.873,45,518,672,139,No
Application Fee Received,71.6,50,783,847,140,No
Application Fee Received,63.018,54,655,718,0,No
Admission Fee Challan Received,75.327,53,926,890,160,Yes
Application Fee Received,62.927,55,827,714,139,No
Application Fee Received,45.036,39,659,512,61,No
Admission Fee Challan Received,74.836,56,748,855,0,Yes
Application Fee Received,60.873,44,798,716,0,No
Application Fee Received,72.527,59,872,840,0,No
Application Fee Received,72.873,56,867,848,194,No
Application Fee Received,85.6,64,893,1001,175,Yes
Application Fee Received,60.582,48,655,701,141,No
Application Fee Received,64.764,58,775,731,168,No
Application Fee Received,70.109,44,904,843,164,No
Application Fee Received,72.8,56,914,852,137,No
Application Fee Received,50.964,41,902,588,92,No
Application Fee Received,54.273,47,771,617,126,No
Application Fee Received,53.109,51,659,590,0,No
Application Fee Received,55.255,49,732,625,30,No
Application Fee Received,63.291,47,613,741,136,No
Application Fee Received,52.673,42,508,724,0,No
Application Fee Received,52,52,725,572,64,No
Application Fee Received,56.764,50,581,643,135,No
Application Fee Received,70.964,45,900,852,0,No
Application Fee Received,49.745,44,637,543,0,No
Application Fee Received,55.382,30,777,679,122,No
Application Fee Received,70.436,50,790,831,166,No
Application Fee Received,66.036,53,784,633,52,No
Application Fee Received,70.309,57,840,810,151,No
Application Fee Received,61.091,52,755,697,138,No
Application Fee Received,70.727,54,740,824,45,No
Admission Fee Challan Received,84.436,68,895,974,164,Yes
Application Fee Received,82.109,50,614,834,178,Yes
Application Fee Received,58.8,42,651,693,0,No
Application Fee Received,76.491,53,909,906,158,Yes
Application Fee Received,52.636,49,665,594,82,No
Application Fee Received,58.945,46,776,684,148,No
Application Fee Received,57.774,50,655,661,0,No
Application Fee Received,60.818,43,612,718,0,No
Application Fee Received,63.8,47,807,748,0,No
Application Fee Received,59.091,50,590,680,120,No
Application Fee Received,71.844,49,571,853,64,No
Application Fee Received,55.8,51,892,627,0,No
Application Fee Received,66,46,526,781,120,No
Application Fee Received,68.109,58,836,777,0,No
Admission Fee Challan Received,74.487,50,825,886,0,Yes
Application Fee Received,62.2,63,845,682,137,No
Application Fee Received,78.436,70,924,866,163,Yes
Application Fee Received,65.283,52,553,754,0,No
Application Fee Received,68.255,62,793,753,144,No
Application Fee Received,53.145,53,672,585,62,No
Application Fee Received,64.273,53,721,738,117,No
Admission Fee Challan Received,80.909,62,929,942,0,Yes
Application Fee Received,64.491,49,566,752,144,No
Application Fee Received,62.505,44,729,725,102,No
Application Fee Received,47.418,40,753,542,23,No
Application Fee Received,75.055,64,808,856,158,No
Application Fee Received,54.764,52,670,610,44,No
Application Fee Received,64.618,50,672,756,0,No
Application Fee Received,72.455,63,869,823,126,No
Application Fee Received,68.964,59,836,791,45,No
Application Fee Received,51.709,0,860,711,94,No
Application Fee Received,58.145,50,743,662,37,No
Application Fee Received,69.255,55,796,801,43,No
Application Fee Received,53.218,73,720,536,0,No
Application Fee Received,59.382,18,843,767,144,No
Application Fee Received,57.055,42,733,679,0,No
Application Fee Received,55.8,51,892,627,0,No
Application Fee Received,58.127,51,649,659,140,No
Application Fee Received,71.704,47,897,854,0,No
Admission Fee Challan Printed,83.091,70,933,950,0,Yes
Application Fee Received,66.652,52,729,778,0,No
Application Fee Received,70.327,64,789,796,168,No
Application Fee Received,73.4,67,660,825,150,No
Application Fee Received,72.945,76,851,804,0,No
Application Fee Received,63.6,30,588,792,0,No
Application Fee Received,67.4,49,811,797,111,No
Application Fee Received,66.873,54,626,776,0,No
Application Fee Received,62.655,50,807,724,0,No
Application Fee Received,65.564,54,898,733,81,No
Application Fee Received,57.455,40,700,680,116,No
Application Fee Received,65.527,44,801,780,122,No
Application Fee Received,80.255,66,846,922,40,Yes
Application Fee Received,54.455,49,742,619,73,No
Application Fee Received,61.327,51,570,703,170,No
Application Fee Received,57.727,45,726,670,108,No
Application Fee Received,63.182,53,840,723,106,No
Application Fee Received,59.4,45,788,693,0,No
Application Fee Received,50.036,48,665,556,0,No
Admission Fee Challan Received,73.53,48,691,879,79,Yes
Application Fee Received,64.636,61,716,726,44,No
Application Fee Received,79.129,69,846,903,0,Yes
Application Fee Received,71.345,44,848,860,161,No
Application Fee Received,73.612,57,834,838,135,No
Application Fee Received,60.8,57,732,576,121,No
Application Fee Received,63.4,53,767,726,134,No
Application Fee Received,47.091,54,624,504,70,No
Application Fee Received,53.855,50,734,603,100,No
Application Fee Received,53.345,50,781,596,78,No
Application Fee Received,68.636,61,882,776,0,No
Application Fee Received,52.655,52,574,586,71,No
Application Fee Received,71.436,63,711,789,0,No
Application Fee Received,41.345,38,513,469,0,No
Application Fee Received,66.582,50,727,778,158,No
Application Fee Received,70.764,64,700,802,0,No
Application Fee Received,72.225,47,793,868,0,No
Application Fee Received,74.091,53,846,888,171,No
Application Fee Received,55.436,43,636,644,70,No
Application Fee Received,64.033,29,539,805,0,No
Application Fee Received,59.073,43,687,694,94,No
Application Fee Received,53.455,44,812,614,0,No
Application Fee Received,62.4,56,739,704,114,No
Application Fee Received,80.073,53,959,826,129,Yes
Application Fee Received,49.618,47,589,553,0,No
Application Fee Received,52.473,50,785,584,89,No
Application Fee Received,65.291,61,813,730,44,No
Application Fee Received,64.945,48,903,761,0,No
Application Fee Received,66.455,49,594,779,144,No
Application Fee Received,52.145,36,630,607,143,No
Admission Fee Challan Received,75.691,61,829,853,172,Yes
Application Fee Received,66.273,59,689,749,146,No
Application Fee Received,55.511,47,606,619,37,No
Application Fee Received,65.655,37,882,801,170,No
Application Fee Received,59.382,50,832,679,0,No
Application Fee Received,74.691,1,767,752,0,No
Application Fee Received,71.4,61,636,814,0,No
Application Fee Received,78.255,60,854,911,0,Yes
Application Fee Received,65.964,52,859,764,129,No
Application Fee Received,65.491,58,804,741,101,No
Application Fee Received,63.473,49,818,743,0,No
Application Fee Received,58.618,32,622,718,126,No
Application Fee Received,70.327,64,789,796,168,No
Application Fee Received,66.652,52,729,778,0,No
Application Fee Received,64.036,52,726,742,45,No
Application Fee Received,75.418,51,667,762,0,No
Application Fee Received,60.091,43,672,708,107,No
Application Fee Received,61.018,56,801,685,0,No
Application Fee Received,55.091,50,748,620,39,No
Application Fee Received,71.224,72,808,786,0,No
Application Fee Received,70,50,808,825,143,No
Application Fee Received,58.691,48,679,675,150,No
Application Fee Received,77.691,55,819,917,151,Yes
Application Fee Received,68.564,45,841,819,142,No
Application Fee Received,64.4,54,700,737,125,No
Application Fee Received,58.618,52,767,663,157,No
Application Fee Received,44.655,40,777,504,87,No
Application Fee Received,55.891,50,605,631,126,No
Application Fee Received,56.745,55,701,629,136,No
Application Fee Received,60.091,55,695,675,128,No
Application Fee Received,57.927,38,639,692,145,No
Admission Fee Challan Printed,74.382,61,942,860,139,Yes
Admission Fee Challan Printed,83.091,70,933,950,0,Yes
Application Fee Received,66.691,44,781,776,128,No
Application Fee Received,52.382,35,698,624,99,No
Application Fee Received,68.036,58,747,776,122,No
Application Fee Received,56.564,53,641,637,0,No
Application Fee Received,63.2,48,579,737,45,No
Application Fee Received,49.673,48,724,551,0,No
Application Fee Received,46.609,10,873,612,102,No
Application Fee Received,66.6,45,675,777,104,No
Application Fee Received,54.877,18,838,713,41,No
Application Fee Received,52.527,59,686,565,0,No
Application Fee Received,67,47,799,792,47,No
Application Fee Received,67.436,51,775,787,0,No
Application Fee Received,64.455,51,673,746,0,No
Application Fee Received,65.673,56,657,754,107,No
Admission Fee Challan Received,72.018,55,847,869,181,Yes
Application Fee Received,50.582,46,581,574,0,No
Application Fee Received,72.945,76,851,804,0,No
Application Fee Received,64.473,58,835,727,128,No
Application Fee Received,62.208,50,713,722,37,No
Admission Fee Challan Received,60.418,49,827,696,114,No
Application Fee Received,52.473,45,659,589,0,No
Application Fee Received,56.036,54,861,622,114,No
Application Fee Received,70.473,56,940,815,143,No
Application Fee Received,47.873,43,544,545,0,No
Application Fee Received,67.949,48,672,807,42,No
Application Fee Received,72.964,51,823,863,152,No
Application Fee Received,64.727,52,715,747,123,No
Application Fee Received,56.709,13,754,744,112,No
Application Fee Received,63.309,54,770,722,0,No
Application Fee Received,69.655,53,821,812,121,No
Application Fee Received,73.818,44,846,894,164,No
Application Fee Received,65.873,41,802,773,0,No
Application Fee Received,66.873,54,626,776,0,No
Application Fee Received,78.618,60,868,916,172,Yes
Application Fee Received,52.036,42,639,600,99,No
Application Fee Received,71.704,47,897,854,0,No
Application Fee Received,56.236,55,614,622,0,No
Application Fee Received,54.018,49,635,608,107,No
Application Fee Received,56.6,55,667,627,0,No
Application Fee Received,67.004,50,608,788,74,No
Application Fee Received,54.673,61,546,584,158,No
Application Fee Received,73.564,62,772,841,190,No
Application Fee Received,62.564,51,588,700,124,No
Application Fee Received,55.364,55,623,620,126,No
Application Fee Received,69.618,51,880,817,165,No
Application Fee Received,63.327,65,628,692,143,No
Application Fee Received,62.236,65,742,657,93,No
Application Fee Received,67.964,62,804,744,39,No
Application Fee Received,46.873,38,624,540,81,No
Application Fee Received,54.709,55,807,601,0,No
Application Fee Received,67.818,54,784,784,123,No
Application Fee Received,60.545,50,575,695,0,No
Application Fee Received,79.545,61,704,926,90,Yes
Application Fee Received,66.364,50,736,775,0,No
Application Fee Received,50.189,44,714,574,35,No
Application Fee Received,62.145,58,896,695,101,No
Application Fee Received,57.8,53,654,649,50,No
Application Fee Received,66.073,62,747,738,118,No
Application Fee Received,68.855,49,922,812,168,No
Admission Fee Challan Received,66.545,52,691,752,113,No
Admission Fee Challan Received,73.53,48,691,879,79,Yes
Application Fee Received,64.636,61,716,726,44,No
Application Fee Received,54.127,47,614,615,106,No
Application Fee Received,70.418,51,745,828,132,No
Application Fee Received,47.673,46,708,529,23,No
Application Fee Received,63.109,57,801,711,123,No
Application Fee Received,63.127,40,563,758,158,No
Application Fee Received,72.236,71,819,798,139,No
Application Fee Received,48.491,45,546,543,0,No
Admission Fee Challan Printed,65.564,50,765,764,107,No
Application Fee Received,63.509,51,804,733,109,No
Application Fee Received,54.036,52,557,600,43,No
Application Fee Received,73.4,67,660,825,150,No
Application Fee Received,54.145,46,745,618,116,No
Application Fee Received,66.6,45,675,777,104,No
Application Fee Received,54.877,18,838,713,41,No
Application Fee Received,74.855,59,912,867,156,No
Application Fee Received,71.836,57,793,831,141,No
Application Fee Received,49.873,49,761,551,0,No
Application Fee Received,65.309,56,700,724,0,No
Application Fee Received,62.667,52,612,718,0,No
Application Fee Received,67.4,49,811,797,111,No
Application Fee Received,63.6,30,588,792,0,No
Application Fee Received,67.727,55,811,780,147,No
Application Fee Received,69.495,46,931,815,0,No
Application Fee Received,71.382,54,881,833,158,No
Application Fee Received,57.836,43,791,677,0,No
